Surname,Forename,Middle Names,Title,Known As,Fee Status,Student Username,Ucard No,Email,Reg. Status,Programme,Period,Module Code,1st Grade,2nd Grade,3rd Grade,4th Grade,NFC_Flag,HEFCE_Flag,Live Registration,Attending,Date of Birth,Personal Tutor,Supervisors
Hopkins,Janice,Cross,Mr,Chelsea,Overseas,ACY19JH,906120838,kevinlynch@example.com,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1997-07-28,Lisa Fletcher,
Williamson,Duncan,Robinson,Mx,Natasha,Home,ACB20DW,661285040,umurray@example.com,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2004-06-26,Kate Pearson,
Akhtar,Justin,Smith Cox,Mx,Lawrence,Home,ACP20JA,946857312,ellie98@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1995-09-04,Stanley Hodgson,
Turner,Henry,Bull,Mx,Mandy,Overseas,ACV22HT,189298777,helencoates@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2004-10-03,Mr Roger Archer,
Jones,Trevor,Ward Stone,Mrs,Benjamin,Overseas,ACV21TJ,375927888,dayalice@example.com,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1994-03-07,Dr Chelsea Higgins,
Davis,Emma,,Mrs,Janet,Home,ACT22ED,902878491,ofowler@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-11-07,Dr Julie Curtis,
Spencer,Joseph,Watkins,Miss,Paul,Home,ACO19JS,845263073,hparker@example.com,Fully Registered,COMU101,B,COM1002,-,-,-,-,-,Yes,Y,Y,2004-12-29,Rhys Jackson-Anderson,
Dixon,Alison,,Mr,Callum,Overseas,ACH22AD,251910045,hodgsonrobert@example.net,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2002-11-04,Leanne Sanderson,
Murphy,Sian,Alexander,Miss,Brett,Overseas,ACJ20SM,233894812,rhys53@example.net,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-09-03,Dr Gavin Sims,
Lewis,Ian,Walsh Murray,Miss,Stephen,Home,ACZ19IL,811150045,clementsjenna@example.org,Fully Registered,COMU101,B,COM1002,-,-,-,-,-,Yes,Y,Y,2003-04-20,Mrs Tina Franklin,
Carter,Bryan,Collier Harris,Mr,Frances,Overseas,ACQ19BC,178467315,craig05@example.net,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2005-12-11,Eileen Dickinson,
Atkinson,Kenneth,Brown,Mrs,Grace,Home,ACQ21KA,863080931,ydouglas@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1997-10-09,Mary Coles,
Doherty,Callum,,Mr,Sally,Home,ACF22CD,100476732,jessicastokes@example.org,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2002-01-25,Terence Hutchinson,
Matthews,Michelle,Hussain Taylor,Mx,Jay,Home,ACD20MM,572869260,markharvey@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2003-04-01,Geoffrey Burton,
Taylor,Kathleen,,Miss,Gerald,Home,ACB21KT,398906112,deborahadams@example.net,Fully Registered,COMU101,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-10-15,Colin Ellis,
Moss,Raymond,Clarke Foster,Ms,Diana,Home,ACJ20RM,959774800,brennanbernard@example.org,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,2004-06-09,Josephine O'Donnell,
Long,Jamie,Law Mitchell,Mrs,Hazel,Home,ACM19JL,792252672,jasonthomas@example.net,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,1993-07-08,Kirsty Smith,
Gallagher,Jennifer,,Mrs,Patricia,Home,ACS22JG,742653363,fparkinson@example.net,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,1994-07-26,Craig Robinson,
Graham,Brenda,Whittaker,Miss,Hazel,Home,ACD22BG,289131205,dennis80@example.com,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2002-08-28,Miss Shirley Ward,
Cook,Amber,Baker Griffiths,Ms,Benjamin,Home,ACQ22AC,521680277,smithjoe@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1993-09-27,Gregory Clark,
Evans,Jay,,Miss,Megan,Overseas,ACY21JE,115154422,woodkim@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1995-12-24,Maria Armstrong,
Wilson,Rhys,,Miss,Sarah,Overseas,ACB20RW,458171353,jake80@example.net,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,1999-08-15,Tina Griffiths,
Jackson,Diane,Williams Jones,Mx,Allan,Overseas,ACB21DJ,693128039,vanessa66@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2005-10-13,Joe Jones,
Young,Lucy,Taylor,Mr,Steven,Overseas,ACZ22LY,363378890,tobybuckley@example.net,Fully Registered,COMU101,B,COM1002,-,-,-,-,-,Yes,Y,Y,2001-03-20,Abigail Winter-Baker,
Davies,Shane,Barnett Simmons,Mr,Beth,Home,ACE21SD,654517394,petershort@example.org,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1996-09-15,Kim Robinson-Stone,
Graham,Patricia,Cook Connolly,Mx,Dawn,Overseas,ACG22PG,342272771,lynda09@example.com,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2000-03-27,Kate Wilson,
Page,Phillip,Spencer,Miss,Adam,Home,ACA20PP,421166522,henryclarke@example.org,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,1994-10-01,Leah Shaw-Simpson,
Atkinson,Jill,Brown,Ms,Paul,Overseas,ACA22JA,725183922,ipowell@example.net,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,2006-03-13,Mrs Ann Green,
Taylor,Hilary,,Mrs,Brenda,Overseas,ACF21HT,672026828,mollystone@example.com,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2007-02-26,Bradley Owen,
Cole,Mary,Powell Walters,Mx,Daniel,Overseas,ACX19MC,666377481,brooksscott@example.com,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2005-04-21,Sean Randall-Patel,
Lewis,Gary,,Mx,Alice,Overseas,ACI21GL,674905265,mitchell49@example.com,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1997-08-13,Rebecca Cooper,
Fletcher,Reece,Jackson Lucas,Mx,Thomas,Overseas,ACV20RF,814372451,kieran66@example.com,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2006-05-03,Mrs Hayley Rogers,
Hall,Jill,,Miss,Thomas,Overseas,ACI22JH,424050961,harrisfiona@example.org,Fully Registered,COMU101,B,COM1002,-,-,-,-,-,Yes,Y,Y,2006-05-27,Mr Alexander Knowles,
Vaughan,Richard,Hart Patel,Ms,Justin,Overseas,ACV20RV,410118458,frank26@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,2007-03-19,Aaron Lamb,
Allen,Glenn,,Miss,Jacqueline,Home,ACK21GA,794785839,ashleywatson@example.org,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2007-07-24,Claire Hughes,
Hunt,Jason,Little Brown,Mrs,Georgia,Overseas,ACA21JH,963113656,sinclairmegan@example.net,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,1997-08-31,Leanne Ellis,
Lee,Mohammed,,Mrs,Jeremy,Overseas,ACQ19ML,616975944,uthompson@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-09-08,Miss Jenna Page,
Winter,Marilyn,Jackson Sharp,Ms,Mary,Overseas,ACA20MW,351800957,uwebster@example.net,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,2004-05-11,Dr Alan Wallace,
Bailey,Shannon,Williams Murray,Mx,Carolyn,Home,ACO20SB,527859069,chloe68@example.org,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,2003-10-02,Sally Andrews,
Gregory,Bethany,Moore,Ms,Hazel,Home,ACX21BG,678556736,jennafuller@example.com,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1995-05-12,Kayleigh Harris,
Morris,Julia,Hunter Green,Mx,Hugh,Home,ACL19JM,148298470,francessaunders@example.net,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,2006-04-29,Stephanie Barrett,
McCarthy,Kevin,Barlow Smith,Miss,Victoria,Home,ACA19KM,925267856,bakerian@example.com,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,1994-08-12,Kelly Morris,
Harrison,Pamela,,Ms,Peter,Home,ACS19PH,562671850,iturner@example.org,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,1999-07-18,Julian O'Connor,
Collins,Claire,Hall,Mr,Sharon,Overseas,ACT19CC,101260900,hbrown@example.org,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,2005-03-05,Lorraine Clark,
Thomas,Jeremy,Ryan,Miss,Cameron,Overseas,ACT22JT,347190550,ndavis@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1996-08-20,Mrs Abbie Pearce,
Walton,Mohamed,Wilkinson Matthews,Ms,Wendy,Overseas,ACD22MW,189152746,bpage@example.com,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,1997-02-14,Margaret Shaw,
Cartwright,Heather,Taylor,Mx,Ross,Overseas,ACH20HC,303656710,ryanharris@example.org,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2007-09-29,Beth Jones,
Peacock,Suzanne,,Mx,Graeme,Home,ACD21SP,579543450,lauradodd@example.net,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2006-06-25,Sheila Walsh,
Thomson,Marilyn,Barker,Mr,Brett,Overseas,ACG22MT,529681413,kdyer@example.com,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2002-04-22,Albert Allen,
James,Carole,Ball Moore,Mr,Jennifer,Overseas,ACS20CJ,231317029,jasmineclarke@example.net,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2003-01-13,Dr Charlie Fox,
Williams,Helen,Storey,Mr,Barry,Home,ACF21HW,840636497,wayne82@example.net,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2004-02-14,Geraldine Godfrey,
Akhtar,Marcus,,Mx,Liam,Overseas,ACI22MA,271027369,owengreen@example.com,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2003-08-21,Sylvia Francis,
Clarke,Josephine,,Mr,Donna,Overseas,ACH21JC,303989941,joanwilliams@example.com,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,2002-11-09,Harriet Ward,
West,Harriet,,Mr,Sally,Home,ACX22HW,926565654,billycoates@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2007-06-13,Reece Phillips-Brookes,
Parkes,Bernard,,Mrs,Jake,Home,ACH19BP,906569508,rachael15@example.net,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,1996-04-14,Cameron Williams-Brown,
Harris,Gerald,Welch,Mx,Aaron,Home,ACR20GH,253475118,maymarilyn@example.com,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,1997-02-28,Dr Bryan Green,
Bray,Sam,Stone Brown,Mrs,Amber,Home,ACF19SB,519511275,rosie25@example.net,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1994-08-29,Georgia Singh,
Rowe,Cameron,Williamson,Ms,Jordan,Home,ACI19CR,921033521,victoriagarner@example.com,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,1995-05-23,Danny Smith,
Fletcher,Philip,Sanders,Mrs,Amber,Overseas,ACF22PF,320023684,hayleygoodwin@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,2001-02-08,Andrea Preston,
Holt,Roger,,Mr,Derek,Overseas,ACW21RH,185563272,kelly31@example.net,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,2005-11-27,Lesley White,
Hill,Victoria,Bell Harrison,Mr,Lauren,Overseas,ACQ21VH,680730228,crussell@example.com,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,2005-01-31,Callum Ross-Reid,
Morrison,Jacob,Carter,Mr,Katy,Overseas,ACI20JM,542726697,debrawilliamson@example.com,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2007-06-01,Dr Robin Allen,
Patel,Mohamed,Thomas,Mr,Elliot,Home,ACG21MP,190315369,yvonne04@example.com,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2004-02-23,Miss Amanda James,
Smith,Barbara,,Mx,Carl,Home,ACD20BS,137384323,williamskarl@example.org,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1997-09-09,Dr Karl Harris,
Carr,Natasha,,Ms,Bernard,Home,ACX19NC,955643417,jamesgary@example.net,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1999-03-31,Vincent Hunter,
Brennan,Jessica,,Mrs,Declan,Overseas,ACN19JB,673360283,bryan19@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2002-08-11,Mr Danny Harris,
Duncan,Rachael,Jones,Mr,Julie,Home,ACB21RD,899554610,bradleybray@example.net,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2003-09-05,Maria Higgins,
Riley,Callum,Ward,Mrs,Patricia,Home,ACS21CR,228995234,tsutton@example.org,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,1994-03-08,Cameron Wood,
Warner,Graham,,Mr,Francesca,Overseas,ACR20GW,160759294,katyelliott@example.com,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,1996-02-22,Graeme Begum,
Winter,Tina,Morris Richards,Mx,Arthur,Overseas,ACC19TW,919331925,wrightjayne@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-07-28,Ellie Jenkins,
Holland,Brian,,Miss,Joseph,Home,ACB21BH,682301752,wattsrebecca@example.net,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,1999-07-12,Stewart Hill,
Clarke,Harriet,Russell Taylor,Mrs,Abbie,Home,ACD22HC,365723899,smithelaine@example.net,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2006-04-03,Carly Jones,
Wilkinson,Katherine,Norman,Ms,Bethan,Home,ACA21KW,303738632,ehughes@example.com,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2004-08-23,Jacob Stevens,
Sharp,Lawrence,Taylor Fisher,Mr,Julie,Overseas,ACU21LS,616602357,mharper@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2007-09-11,Carole Stokes,
Baker,Ann,Williamson Morris,Mx,Steven,Home,ACU20AB,465424770,griffithsgillian@example.net,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,1993-07-20,Kayleigh Lee,
Barton,Charlotte,,Miss,Henry,Overseas,ACZ20CB,685286667,icross@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-02-11,Suzanne Thompson,
Moore,Jade,,Mx,Bethany,Home,ACL22JM,769592816,mariegraham@example.com,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,1995-04-28,Ms Georgina Stevens,
Cooke,Russell,Weston Taylor,Mr,Debra,Overseas,ACQ20RC,103937115,ftaylor@example.org,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2005-07-30,Martin Sullivan,
Jones,Michael,Baldwin Barnes,Mrs,Mohammad,Home,ACA20MJ,537790448,vmiller@example.org,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2000-08-13,Rebecca Taylor,
Davies,Chelsea,,Ms,Georgia,Overseas,ACL22CD,197960342,rhowe@example.net,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2006-04-07,Anna Gardner-Stanley,
Phillips,Danielle,Johnston Morrison,Mrs,Keith,Home,ACN19DP,625061930,lesleyhowe@example.com,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,2002-02-08,Dr Pamela Collins,
Jones,Sean,Clarke Humphries,Miss,Andrew,Overseas,ACZ19SJ,164687226,charlottefoster@example.org,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1999-10-20,Jay Hawkins,
