Surname,Forename,Middle Names,Title,Known As,Fee Status,Student Username,Ucard No,Email,Reg. Status,Programme,Period,Module Code,1st Grade,2nd Grade,3rd Grade,4th Grade,NFC_Flag,HEFCE_Flag,Live Registration,Attending,Date of Birth,Personal Tutor,Supervisors
Evans,Bethan,,Mrs,Amy,Overseas,ACF19BE,416490348,vincentallen@example.org,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,2003-05-08,Jayne Bibi-Howard,
Atkinson,Geraldine,Wilkinson,Mx,Carol,Overseas,ACK21GA,694642402,wilkinsonsimon@example.org,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-10-05,Mr Alexander Farrell,
Smith,Henry,,Ms,Maureen,Overseas,ACM19HS,321983872,bwhite@example.com,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,2007-09-24,Jonathan French,
Taylor,Samantha,Tyler,Mx,Amber,Overseas,ACU22ST,853169014,zrobinson@example.net,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-05-13,Laura Lynch,
Williams,Kenneth,,Mx,Georgina,Overseas,ACC19KW,186836710,jayclarke@example.org,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2003-08-20,Dr Barbara Mason,
Marshall,Nicholas,Miller,Mr,Kelly,Home,ACB19NM,711055686,shaun22@example.net,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,1997-08-14,Dr Lindsey Johnson,
Morgan,Jonathan,Carpenter Stephenson,Ms,Pamela,Overseas,ACE19JM,650382257,carly10@example.net,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,2007-08-03,Dennis Rowe,
Jones,Joel,Anderson Smith,Mx,Linda,Overseas,ACU19JJ,201653624,nking@example.org,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,2005-02-18,Sian Smith,
Cooper,Leigh,Kelly,Mx,Dean,Home,ACK22LC,304773716,owenbrown@example.net,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-02-23,Roy Griffin,
Smith,Edward,Gardner Taylor,Mr,Martyn,Home,ACQ22ES,993958309,sallen@example.net,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1997-04-03,Robert Marsden,
Jones,Karl,May,Miss,Eileen,Overseas,ACC21KJ,243083303,vshaw@example.com,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2006-05-31,Dr Leon Cox,
Lynch,Nathan,Smith Stanley,Mx,Sam,Overseas,ACY20NL,914653367,thomas31@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1998-01-03,Joel Parkes,
Blake,Sian,Reynolds,Mx,Elizabeth,Overseas,ACK19SB,395032498,maryhewitt@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2002-02-17,Christopher White-Newton,
Turner,Chelsea,Phillips Miah,Mrs,Barbara,Overseas,ACB21CT,118148551,yphillips@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1993-08-20,Andrew Wallace,
Whitehouse,Naomi,,Mrs,Carly,Overseas,ACE21NW,318349729,lsmith@example.com,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,2000-05-27,Rebecca Williams,
Potter,Gemma,Browne,Mr,Josh,Home,ACF20GP,583248283,neilwarner@example.org,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1993-09-28,Max Smith,
Brown,Eric,Stephens Steele,Ms,Julie,Overseas,ACL21EB,226703123,amy71@example.org,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-07-04,Katherine Smart,
Howard,Donald,Morris Lynch,Ms,Alan,Home,ACO20DH,407460539,danielsvalerie@example.net,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2003-03-17,Roger Rhodes,
Patel,Leslie,,Ms,Aimee,Overseas,ACZ22LP,491962190,fullerpeter@example.org,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,1999-08-29,Janet Dodd,
Williams,Alan,,Mr,Diane,Home,ACI20AW,204920766,shawandrea@example.org,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,2000-01-25,Catherine Parkin,
Mitchell,Barbara,Cooper Andrews,Mr,Sally,Home,ACI21BM,676772169,abigailmorris@example.net,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2007-07-04,Melanie Hughes,
Miller,Charles,Collins Cross,Mr,Craig,Home,ACG21CM,779947091,ohenderson@example.com,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,2003-01-31,Lawrence Baxter,
Sheppard,Iain,Chambers,Ms,Gary,Home,ACI20IS,985159147,jenkinsdawn@example.org,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,2000-07-20,Mr Anthony Fox,
Summers,Jayne,,Mx,Jamie,Overseas,ACU19JS,106410821,humphrieskelly@example.com,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,2006-06-13,Ms Rita Booth,
Wilson,Leah,Griffiths,Mx,Christopher,Home,ACE21LW,239887233,garnermohammed@example.com,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,2007-01-16,Dr Jennifer Skinner,
Dickinson,Alison,Wright,Mrs,Reece,Home,ACC20AD,657919377,lewisdouglas@example.com,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,2008-01-11,Arthur Sims-Donnelly,
McCarthy,Graham,Greenwood Parry,Mx,Samantha,Overseas,ACV19GM,798810467,gemmaharris@example.org,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-06-28,Miss Amanda Martin,
Webb,Angela,,Mx,Rita,Overseas,ACJ21AW,433514450,jmorley@example.com,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,2007-07-04,Vincent Swift,
Parkes,Ross,Rose,Miss,Christopher,Home,ACS22RP,955655869,joanne31@example.org,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1997-04-05,Mr Bruce Thompson,
Cooke,Mitchell,,Mr,Stephanie,Overseas,ACO22MC,208304701,bcoates@example.net,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-03-06,Garry Murray,
Carter,Gareth,,Mrs,Elizabeth,Home,ACM19GC,444579525,qcooke@example.net,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1993-12-31,Mohammad Miller,
Smith,Daniel,Fitzgerald,Miss,Kerry,Home,ACS21DS,274001710,hazelfrost@example.com,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2001-10-05,Mr Robin Sims,
Martin,Mohammed,Marsh,Mrs,Sharon,Overseas,ACN21MM,836873805,thomsonbrett@example.com,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,1998-01-11,Tina Harvey-Green,
Jones,Russell,,Ms,Marcus,Overseas,ACO21RJ,674200224,judith02@example.com,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,2002-05-24,Dylan Moore,
Chamberlain,Gareth,Noble,Mr,Sharon,Home,ACC20GC,247221983,tiqbal@example.com,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,2001-10-27,Iain Quinn,
Roberts,Sharon,,Miss,Aaron,Overseas,ACJ22SR,981693051,karenhopkins@example.net,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1996-05-30,Mr William Metcalfe,
Johnson,Harriet,Mellor,Ms,Edward,Home,ACR21HJ,906207865,williamsonjason@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1999-10-01,Melanie Martin-Bibi,
Clark,Charlotte,Booth,Mx,Tracy,Home,ACZ21CC,415781189,mohamed48@example.net,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1996-10-08,Katy Daly,
Wilson,Sara,Taylor,Miss,Gemma,Home,ACO20SW,564396723,gerald12@example.net,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1998-06-20,Suzanne Wilson-Hawkins,
Mills,Alex,Stone Humphreys,Miss,Charlie,Overseas,ACU21AM,223853808,roygreen@example.com,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,1999-05-24,Mr Russell Taylor,
Vaughan,Lindsey,,Mx,Brian,Home,ACX20LV,561755140,webblauren@example.com,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-08-02,Ms Charlene Williams,
Lloyd,Marc,Bennett,Mrs,Leslie,Overseas,ACM22ML,607312086,jacquelinesimmons@example.com,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,1993-11-05,Ms Joyce Stevenson,
Morrison,Louise,,Mr,Lydia,Home,ACX19LM,919800018,amy71@example.com,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-12-10,Lawrence Wilkins,
Simpson,Duncan,West Gardner,Ms,Julia,Home,ACP22DS,802944431,tgibson@example.net,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,2005-07-16,Mohamed Welch,
Green,Hannah,Kennedy,Miss,Eileen,Overseas,ACI19HG,800807246,harriet27@example.net,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,1996-09-07,Mr Timothy Ahmed,
Andrews,Ashley,Russell Lane,Mx,Samantha,Home,ACU22AA,983622777,thompsonabdul@example.net,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-01-31,Mr Jake Moore,
Lee,Iain,Harris Thompson,Miss,Neil,Overseas,ACZ19IL,287267172,barbaraparker@example.com,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-02-14,Frank Waters-Smith,
Johnson,Dorothy,Slater,Mrs,Justin,Home,ACZ22DJ,641123855,jshaw@example.com,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2000-12-13,Ross Shaw,
Fox,Frederick,Payne Thompson,Miss,Danny,Overseas,ACI19FF,231879214,brianwood@example.org,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2005-11-27,Mr Reece Clayton,
Lees,Marian,Wall,Miss,Marion,Home,ACP20ML,555374922,wardgeorge@example.net,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,2007-02-12,Miss Danielle Cartwright,
Shaw,Abdul,,Ms,Julie,Home,ACU20AS,878490304,ben97@example.org,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2007-05-07,Sheila Baxter-Norton,
Moore,Nicola,Brennan,Mrs,Stephen,Overseas,ACH22NM,301064490,roweeleanor@example.com,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2001-01-29,Kayleigh Gray,
Cox,Lindsey,Bevan,Mr,Eric,Home,ACS20LC,663752031,dylandale@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1999-02-15,Gemma Jenkins,
Griffiths,Connor,Ahmed,Mrs,Mohamed,Home,ACD20CG,907296389,qblack@example.org,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2001-06-20,Ann Harper,
Cross,Tracey,Dunn Preston,Ms,Francesca,Home,ACK21TC,778801255,pagehilary@example.org,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,2000-12-12,Janet Burgess,
Jones,Kathryn,,Miss,Jamie,Overseas,ACA19KJ,671276367,alexander41@example.com,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1997-07-19,Joe Roberts,
Singh,Thomas,,Ms,Charlotte,Home,ACK19TS,582998504,rharris@example.net,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,2005-04-15,Declan Preston-Lord,
Allen,Russell,,Mr,Steven,Overseas,ACK19RA,888474211,djenkins@example.com,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-01-25,Mr Norman Carter,
Davison,Jane,Hancock,Mrs,Jacob,Overseas,ACU21JD,365318852,emilybray@example.net,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,1997-01-03,Garry Bull,
Murphy,Malcolm,Pope Wright,Ms,Ross,Home,ACE19MM,758423787,brownsean@example.com,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,1997-02-04,Jade Holden,
Young,Leon,Brown Jones,Mr,Justin,Home,ACJ20LY,248700603,deborahswift@example.org,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1998-01-04,Tina Smart,
Young,Alan,Thomas Little,Miss,Mohamed,Home,ACJ19AY,113081001,taylornathan@example.com,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,2006-02-03,Frank Lamb,
Hussain,Kelly,Marshall Marshall,Mr,Craig,Home,ACI22KH,949742597,kimberleybriggs@example.net,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,2002-02-20,Mitchell Ellis,
Davis,Alex,,Ms,Kate,Home,ACV19AD,144494315,hughwilliams@example.org,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-07-21,Graham Baker,
Bryant,Helen,Haynes Smith,Mr,Rachel,Home,ACA20HB,464152126,crobinson@example.net,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2003-03-08,Chloe Spencer,
Griffiths,Janet,,Mr,Emily,Overseas,ACT19JG,450896880,higginsharry@example.org,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1998-09-12,David Barry-Davies,
Jones,Sarah,Hyde,Mrs,Francesca,Overseas,ACC20SJ,561203925,hilaryfoster@example.org,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1996-08-18,Mr Dean Wood,
Green,Leslie,Patel Barton,Mr,Rebecca,Overseas,ACS21LG,790970960,krobinson@example.org,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2002-02-04,Patricia Higgins,
Griffiths,Connor,Davies Barrett,Ms,Kathleen,Overseas,ACU21CG,233362814,williampatel@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2006-06-11,Beth Smith,
Hall,Hilary,Hawkins,Mrs,Elliott,Overseas,ACH21HH,166221403,daypaige@example.net,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-12-21,Mrs Dawn Scott,
Fletcher,Martin,Cox Lowe,Mr,Christopher,Home,ACF22MF,321181520,joycehewitt@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-08-12,Sean Smith,
Wilson,Ross,Bird Richardson,Ms,Gemma,Overseas,ACY19RW,487437691,uhudson@example.org,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,2007-03-01,Steven White,
Johnson,Philip,James Holland,Mrs,Joyce,Home,ACX19PJ,702554749,brownrhys@example.net,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-06-07,Dr Ashleigh Hunt,
Coleman,Ashley,,Mx,Stewart,Overseas,ACZ20AC,249486499,kelly46@example.com,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-05-10,Patrick Patel-Murray,
Hardy,Kerry,,Mrs,Naomi,Overseas,ACL20KH,593614666,joyce79@example.com,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-05-20,Carole Bruce,
Heath,Jane,Mitchell Wallace,Miss,Neil,Home,ACI19JH,899279197,pdyer@example.com,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,1998-03-09,Tina Fox,
Mellor,Timothy,Cross,Mr,Zoe,Home,ACM20TM,726831538,jonesanne@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1999-01-11,Jacob Roberts,
Briggs,Lynda,Pratt Rowe,Miss,Jeffrey,Overseas,ACS19LB,101362226,sryan@example.net,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2001-08-13,Olivia Atkinson,
Davies,Lucy,Holden,Miss,Julia,Home,ACL22LD,544955082,alankhan@example.com,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,1996-03-02,Hollie Wilkinson,
Moore,Shirley,Weston,Mrs,Abdul,Overseas,ACI22SM,853525106,frankgibbons@example.net,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-08-23,Donald Booth,
Hughes,Angela,Burns Bradley,Mr,Christopher,Home,ACP21AH,426991544,christine78@example.com,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1999-03-23,Pamela Davies,
Ford,Frederick,,Ms,Benjamin,Overseas,ACN21FF,402043947,zoliver@example.org,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,2007-06-01,Miss Maria Swift,
Walker,Marilyn,Lord,Mx,Irene,Overseas,ACZ22MW,205096813,terencewebb@example.org,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,2002-10-03,Stewart Myers-Hilton,
Simpson,Michael,,Mrs,Lynn,Overseas,ACP21MS,363907855,danny22@example.net,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2005-02-26,Kevin Rogers,
Curtis,Matthew,Roberts,Mr,Adam,Overseas,ACR19MC,845849575,francesca95@example.net,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-10-12,Miss Leanne Taylor,
Brown,Marie,Jones,Mrs,Laura,Overseas,ACP20MB,687769837,davisonderek@example.net,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-02-13,Graeme Cooper,
Reynolds,Lynda,,Ms,Margaret,Overseas,ACZ22LR,284166823,holtrussell@example.com,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-02-03,Mary Thomas-Jones,
Brown,Marie,Murray,Mr,Melanie,Overseas,ACQ22MB,675476666,egibson@example.net,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-11-14,Amanda Phillips,
Chadwick,Douglas,Freeman,Miss,Peter,Home,ACG21DC,607613586,matthewbell@example.com,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,2000-04-06,Natalie Marsden-Porter,
O'Brien,Anthony,,Miss,Stephanie,Home,ACM21AO,941038765,scottbeth@example.com,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1997-02-22,Dr Keith Butler,
Stewart,Bryan,Coates Moss,Miss,Owen,Home,ACS22BS,889567569,barbara99@example.com,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,2000-09-21,Stacey Bowen,
Anderson,Amber,Davies Bradshaw,Mx,Marion,Home,ACV22AA,303584746,williamfox@example.com,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-01-22,Amy Osborne,
Vaughan,Georgina,,Ms,Ellie,Home,ACK20GV,701433446,eric25@example.org,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2000-08-03,Mohamed Evans,
Young,Richard,Turner,Mrs,Philip,Home,ACM21RY,974657235,marianbrown@example.com,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1997-06-29,Dr Alex Jones,
Ford,Heather,Hudson Sinclair,Mx,Jamie,Overseas,ACI22HF,251974882,xthomson@example.com,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1996-03-03,Bradley Rees,
Jones,Clifford,,Miss,Lee,Overseas,ACJ22CJ,102920701,kellyalexandra@example.net,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,1997-05-29,Bradley Kerr,
Carter,Glenn,,Miss,Kevin,Overseas,ACO19GC,396487167,jryan@example.net,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,1998-11-22,Dr Charlotte Davies,
Booth,Stuart,Evans Murphy,Ms,Philip,Home,ACI21SB,894288910,huntjonathan@example.org,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2001-07-31,Shaun Pearson,
Evans,Joseph,O'Sullivan,Miss,Clive,Overseas,ACL22JE,869245752,gellis@example.org,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,1997-08-20,Aimee Payne,
Pugh,Christine,,Mrs,Alison,Overseas,ACO22CP,916770614,trevor84@example.org,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-03-18,Gavin Baker,
Moran,Wendy,King,Mx,Gordon,Home,ACD19WM,176740063,warnerdanny@example.org,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,2005-08-08,Jennifer Craig,
Stanley,Ann,Roberts Green,Miss,Alison,Overseas,ACK22AS,686303548,shane68@example.net,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,1999-04-14,Karen Kent,
Hartley,Gareth,Coles Johnston,Miss,Sian,Overseas,ACI19GH,777966217,janelowe@example.net,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-02-14,James Jones,
Patel,Leslie,Taylor,Mrs,Tracy,Overseas,ACL21LP,381179065,wongnicholas@example.net,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,1997-05-31,Joanna Hunt,
Byrne,Ashleigh,Carter Smith,Ms,Joe,Overseas,ACS22AB,788654594,pgraham@example.net,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,2006-07-14,Julian Schofield-Gibbons,
Walker,Melanie,Ellis,Mx,Maria,Overseas,ACQ20MW,214553808,garethjohn@example.com,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,2006-06-14,Joe Farrell-Smith,
Harvey,Mathew,Martin Gilbert,Ms,Guy,Home,ACV21MH,918022476,linda87@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-07-06,Ian Hyde-Harding,
Young,Joanne,,Mr,Ronald,Home,ACV21JY,261909601,patrick75@example.com,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-08-29,Christian Barlow,
